Bid,Ask,Daycount,Freq,Maturity Date,Source
0.88713,0.88713,ACT/360,0,07/28/2020,CASH
0.379796757,0.379796757,ACT/360,0,09/16/2020,FUTURE
0.324203894,0.324203894,ACT/360,0,12/16/2020,FUTURE
0.348331876,0.348331876,ACT/360,0,03/17/2021,FUTURE
0.282189579,0.282189579,ACT/360,0,06/16/2021,FUTURE
0.275768888,0.275768888,ACT/360,0,09/15/2021,FUTURE
0.284093126,0.284093126,ACT/360,0,12/15/2021,FUTURE
0.369369,0.376731008,30I/360,2,04/28/2022,SWAP
0.361021996,0.382277995,30I/360,2,04/28/2023,SWAP
0.399141997,0.411657989,30I/360,2,04/29/2024,SWAP
0.449867994,0.458532006,30I/360,2,04/28/2025,SWAP
0.501856029,0.511443973,30I/360,2,04/28/2026,SWAP
0.549862981,0.559136987,30I/360,2,04/28/2027,SWAP
0.593491971,0.602608025,30I/360,2,04/28/2028,SWAP
0.632085979,0.641413987,30I/360,2,04/30/2029,SWAP
0.665368974,0.674031019,30I/360,2,04/29/2030,SWAP
0.691883981,0.702015996,30I/360,2,04/28/2031,SWAP
0.714572012,0.725127995,30I/360,2,04/28/2032,SWAP
0.757996023,0.770604014,30I/360,2,04/30/2035,SWAP
0.799117029,0.811783016,30I/360,2,04/30/2040,SWAP
0.811972022,0.823328018,30I/360,2,04/28/2045,SWAP
