Bid,Ask,Daycount,Freq,Maturity Date
0.05,0.05,ACT/360,0,04/29/2020
0.0613029,0.082697101,ACT/360,1,05/07/2020
0.059565999,0.084433898,ACT/360,1,05/14/2020
0.0560087,0.089991301,ACT/360,1,05/21/2020
0.068563297,0.0774367,ACT/360,1,06/01/2020
0.064782098,0.079217903,ACT/360,1,07/01/2020
0.068095401,0.081904598,ACT/360,1,07/30/2020
0.0604931,0.0815069,ACT/360,1,09/01/2020
0.060325298,0.077674702,ACT/360,1,09/30/2020
0.049822502,0.088177502,ACT/360,1,10/30/2020
0.0597248,0.072275102,ACT/360,1,02/01/2021
0.047585599,0.0844144,ACT/360,1,04/30/2021
0.059415601,0.082584299,ACT/360,1,11/01/2021
0.064366199,0.079133801,ACT/360,1,05/02/2022
0.096077003,0.108923003,ACT/360,1,05/02/2023
0.128654003,0.163345993,ACT/360,1,05/01/2024
0.181720003,0.210280001,ACT/360,1,04/30/2025
0.295756227,0.304926021,ACT/360,1,04/30/2027
0.412626201,0.421268075,ACT/360,1,05/01/2030
0.462467244,0.473199469,ACT/360,1,04/30/2032
0.506835407,0.519291071,ACT/360,1,05/02/2035
0.547455423,0.560843272,ACT/360,1,05/02/2040
0.560152658,0.573605138,ACT/360,1,05/02/2045
